Egg	ind	1	78.0	6.0	0.6	5.0	0.0
EggWhite	ind	1	17.0	3.8	0.2	0.1	0.0
Broccoli	gr	100	34.0	2.8	7.0	0.4	2.6
Mushrooms	gr	100	22.0	3.1	3.3	0.3	1.0
Onion	ind	1	60.0	1.7	14.0	0.2	2.6
CherryTomatoes	gr	150	25.0	1.0	6.0	0.0	1.1
SoyMilk	gr	100	39.0	3.0	2.5	1.8	0.5
Almond	ind	1	7.0	0.3	0.3	0.6	0.1
Pecan	ind	1	10.0	0.13	0.2	1.07	0.14
Oil	ind	1	134.85	0.0	0.0	15.0	0.0
Blueberries	gr	100	57.0	0.7	14.0	0.3	2.4
Blackberries	gr	100	43.0	1.0	10.0	0.0	5.0
Raspberries	gr	100	53.0	1.2	12.0	0.7	7.0
ChickenBreast	gr	100	165.0	31.0	0.0	3.6	0.0
Tuna	gr	100	113.0	27.0	0.1	0.5	0.0
Tomatoes	ind	1	22.0	1.1	4.8	0.2	1.5
Cucumber	ind	1	47.0	2.0	11.0	0.3	1.5
Lettuce	gr	100	14.0	0.9	3.0	0.1	1.2
ProteinShake	ind	1	110.0	24.2	1.3	0.2	0.0
